year,number_incidents
1791,1
1803,1
1807,1
1820,1
1825,1
1830,1
1832,2
1836,3
1837,1
1839,1
1840,1
1841,1
1847,2
1849,3
1850,2
1853,1
1855,4
1856,2
1858,1
1860,1
1861,1
1862,2
1863,4
1865,1
1868,1
1869,2
1870,2
1872,1
1873,1
1874,3
1875,4
1876,6
1877,5
1878,4
1879,2
1880,4
1881,5
1882,5
1883,3
1884,1
1885,2
1886,2
1887,2
1888,2
1889,1
1890,1
1891,2
1892,4
1893,3
1894,1
1895,7
1896,2
1897,2
1898,2
1899,2
1900,5
1901,6
1902,2
1903,4
1904,1
1905,2
1906,4
1907,4
1909,1
1910,4
1911,3
1912,7
1913,5
1914,8
1915,4
1916,8
1917,2
1918,8
1919,5
1920,9
1921,5
1922,5
1923,11
1924,5
1925,3
1926,4
1927,8
1928,8
1929,23
1930,7
1931,6
1932,8
1933,10
1934,14
1935,9
1936,15
1937,10
1938,8
1939,6
1940,8
1941,4
1942,6
1943,1
1944,1
1945,2
1946,8
1947,5
1948,5
1949,11
1950,5
1951,7
1952,5
1953,7
1954,6
1955,4
1956,8
1957,6
1958,7
1959,11
1960,9
1961,11
1962,5
1963,4
1964,5
1965,3
1966,7
1967,2
1968,3
1969,3
1971,3
1972,6
1973,4
1974,3
1975,8
1976,1
1977,6
1978,3
1979,2
1980,6
1981,4
1982,3
1983,5
1984,8
1985,5
1986,5
1987,9
1988,6
1989,14
1990,9
1991,7
1992,6
1993,7
1994,5
1995,11
1996,11
1997,13
1998,8
1999,5
2000,19
2001,13
2002,11
2003,13
2004,23
2005,16
2006,10
2007,17
2008,14
2009,28
2010,14
2011,15
2012,23
2013,15
2014,25
2015,33
2016,31
2017,21
2018,30
2019,24
2020,37
2021,25
2022,22
2023,18
2024,4
