Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Jan,1791,fatal,NSW,near sydney,-33.86666667,151.2,coastal,white shark,,unprovoked,swimming,,torso,female,,
Mar,1803,injured,WA,"hamelin bay, faure island",-25.83333333,113.8833333,coastal,tiger shark,,unprovoked,swimming,,,male,,
Jan,1807,injured,NSW,"cockle bay, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,,unprovoked,swimming,,"arm, hand",male,,
Jan,1820,fatal,TAS,"sweetwater point, pitt water",-42.8,147.5333333,coastal,,,provoked,swimming,,leg,male,,
Jan,1825,injured,NSW,"kirribili point, sydney harbour",-33.85,151.2166667,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,15,
Jan,1830,injured,TAS,bruny island,-43.28333333,147.3333333,island open ocean,white shark,,unprovoked,swimming,,arm,female,,
Jan,1832,injured,NSW,"blackwattle bay, glebe, sydney harbour",-33.86666667,151.1833333,estuary/harbour,bull shark,,provoked,swimming,,leg,male,,
Jun,1832,injured,NSW,"south head, sydney harbour",-33.83333333,151.2666667,coastal,white shark,,provoked,fishing,,leg,female,,
Jan,1836,injured,SA,holdfast bay,-34.95,138.5,coastal,white shark,,unprovoked,swimming,,,male,,
Aug,1836,fatal,QLD,fraser island,-25.48333333,152.9833333,coastal,whaler shark,,unprovoked,swimming,,other: body not recovered,male,,
Aug,1836,fatal,QLD,fraser island,-25.48333333,152.9833333,coastal,whaler shark,,unprovoked,swimming,,other: body not recovered,male,,
Jan,1837,fatal,NSW,macleay river,-30.93333333,153.0166667,river,bull shark,,unprovoked,swimming,,leg,male,12,
Aug,1839,fatal,VIC,"sealer's cove, wilson's promontory",-38.98333333,146.45,coastal,white shark,,provoked,swimming,,leg,male,,
Dec,1840,fatal,NSW,"wooloomooloo bay, sydney harbour",-33.85,151.2166667,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,,
Apr,1841,fatal,NSW,"cockatoo island, sydney harbour",-33.83333333,151.1666667,estuary/harbour,bull shark,,unprovoked,swimming,,thigh,male,,
Mar,1847,injured,QLD,moreton bay,-27.25,153.25,coastal,bull shark,,unprovoked,swimming,,foot,male,,
Nov,1847,injured,QLD,brisbane river,-27.43333333,153.0833333,river,bull shark,,unprovoked,swimming,other: side,"thigh, calf",male,,
